맘카,카메라,LGU+,고정형,wifi,상시수집/조건수집,녹화/녹음/음성제어,영상/움직임감지/음성/연락처,행태정보,1,스마트장비,1,54.5
동작감지센서,센서,LGU+,고정형,z-wave,상시수집,출입감지/온도감지,움직임감지/온도,행태정보/생체정보,1,센서,0,39.33333333
에어센서,센서,LGU+,이동형,wifi,상시수집,공기질감지,미세먼지및초미세먼지농도,iX,0,센서,1,49.33333333
수면센서,센서,LGU+,고정형,wifi,조건수집,생체정보감지/장치제어,맥박수/호흡수/움직임감지,행태정보,1,센서,0,34.33333333
수면등,센서,LGU+,고정형,wifi,X,생체정보감지/장치제어,조도제어/알람,iX,0,센서,1,31.83333333
플러그,센서,LGU+,고정형,wifi,상시수집,전력량감지/음성제어/모니터링,전력량/스위치/알람,사용패턴,1,센서,0,41.83333333
멀티탭,센서,LGU+,고정형,wifi,상시수집,전력량감지/음성제어/모니터링,전력량/스위치/알람,사용패턴,1,센서,0,41.83333333
스위치,스위치,LGU+,고정형,z-wave,상시수집,온도감지/습도감지/음성제어,음성/온도/습도,iX,0,센서,0,24.33333333
가스잠그미,스위치,LGU+,고정형,z-wave,상시수집,온도감지/장치제어,온도/밸브잠금,iX,0,센서,1,29.33333333
도어센서,센서,LGU+,고정형,z-wave,상시수집,출입감지,움직임감지,행태정보,0,센서,0,29.33333333
전기료미터,전력량계,LGU+,고정형,wifi,상시수집,전력량감지/모니터링,전력량,사용패턴,1,센서,0,41.83333333
에어컨,에어컨,LG,고정형,wifi,상시수집,장치제어,온도,iX,1,액츄에이터,1,45.16666667
로봇청소기,청소기,LG,이동형,wifi,상시수집,음성제어,위치정보/영상/움직임감지,iX,1,스마트장비,1,62.0
My Hero,호신용품,SK,이동형,bluetooth,조건수집,위치감지,위치정보,iX,0,센서,0,39.33333333
문열림센서,센서,SK,고정형,wifi,상시수집,출입감지,문열림감지,행태정보,1,센서,0,36.83333333
I'm Here,위치알림이,SK,이동형,bluetooth,조건수집,위치감지,위치정보,iX,1,센서,0,39.33333333
공기청정기,공기청정기/공기측정기,SK,고정형,wifi,상시수집,공기질감지/모니터링,미세먼지및초미세먼지농도/온도/습도,iX,0,스마트장비,1,49.5
스마트 트래커,위치알림이,SK,이동형,bluetooth,조건수집,위치감지,위치정보,iX,1,센서,0,39.33333333
LISA Home,공기측정기,LISAHome,고정형,wifi,상시수집,공기질감지/모니터링,온도/습도/이산화탄소농도/휘발성유기화합물농도/미세먼지및초미세먼지농도,iX,0,센서,1,36.83333333
공기모니터,공기측정기,어웨어,고정형,wifi/bluetooth,상시수집,공기질감지/모니터링,온도/습도/이산화탄소농도/휘발성유기화합물농도/미세먼지및초미세먼지농도,iX,0,센서,1,36.83333333
스마트 에너지미터,전력량계,SK,고정형,wifi,상시수집,전력량감지/모니터링,전력량,사용패턴,1,센서,1,46.83333333
스마트 스위치,스위치,반디통신,고정형,z-wave,상시수집,음성제어,스위치,iX,0,액츄에이터,0,32.66666667
스마트 도어센서,센서,헤이홈,고정형,zigbee,상시수집,출입감지,움직임감지,행태정보,0,센서,0,31.83333333
홈카메라,카메라,헤이홈,고정형,wifi,상시수집,녹화/녹음/음성제어,영상/움직임감지/음성,행태정보,1,스마트장비,1,54.5
스마트 온습도 센서,온습도계,헤이홈,고정형,zigbee,상시수집,공기질감지/모니터링,온도/습도,iX,0,센서,0,26.83333333
2019 The Frame 108 츠,TV,삼성,고정형,wifi/bluetooth,조건수집,음성제어,개인클라우드접근,iX,1,액츄에이터,1,42.66666667
사운드 플러스 사운드바 5채널 HW-MS751?,사운드바,삼성,고정형,wifi/bluetooth,X,장치제어,X,iX,0,액츄에이터,0,35.16666667
무풍에어컨 벽걸이 와이드,에어컨,삼성,고정형,wifi,조건수집,장치제어/온도감지/습도감지,움직임감지/온도/습도,iX,0,X,1,34.0
무풍큐브 47 ㎡ 세이지 블루,공기청정기/공기측정기,삼성,고정형,wifi,조건수집,장치제어/공기질감지/모니터링,공기질/잠금,iX,0,센서,1,34.33333333
그랑데 세탁기 AI 21 kg 블랙 케비어,세탁기,삼성,고정형,wifi,X,장치제어/오염도감지,진행단계/물높이/오염도/코스/남은시간/동작예약시간/동작여부,iX,0,센서,1,31.83333333
그랑데 건조기 14 kg DV14R8520KP 이녹스 실버,건조기,삼성,고정형,wifi,X,장치제어,진행단계/물높이/오염도/코스/남은시간/동작예약시간/동작여부,iX,0,센서,1,31.83333333
에어드레서 DF60R8300DG 다크 블랙,에어드레서,삼성,고정형,wifi,X,장치제어/오염도감지/습도감지,습도감지/진행단계/코스/남은시간,iX,0,센서,1,31.83333333
POWERbot VR20K9350WK 에보니 옵시디언,로봇청소기,삼성,이동형,wifi,조건수집,장치제어/녹화/실내지도,위치정보정보/이미지,행태정보,1,스마트장비,1,64.5
BESPOKE 1도어 (김치) 319 L?,김치냉장고,삼성,고정형,wifi,X,장치제어,온도/습도/문열림감지,iX,0,센서,0,26.83333333
셰프컬렉션 식기세척기 빌트인,식기세척기,삼성,고정형,wifi,X,습도감지,진행단계/코스/남은시간/동작예약시간/동작여부,iX,0,센서,1,31.83333333
삼성 커넥트태그,위치알림이,삼성,이동형,wifi/bluetooth,상시수집,위치감지/출입감지,위치정보,행태정보,1,센서,0,49.33333333
Galaxy Home Mini?,스피커,삼성,고정형,wifi/bluetooth,상시수집,음성제어/음성제어,음성/취향정보/문화정보/위치정보정보/동작여부,행태정보,1,스마트장비,0,49.5
삼성 IoT LED 조명,전구,삼성,고정형,wifi,X,장치제어,색온도/밝기/알람/스케줄/동작여부,iX,0,센서,0,26.83333333
Push Pull Series 9,도어락,삼성,고정형,bluetooth,조건수집,생체정보감지/장치제어,생체정보/출입감지,행태정보,1,스마트장비,1,59.5
iclebo 기가지니 에디션 로봇청소기,로봇청소기,iclebo,이동형,wifi,조건수집,음성제어/,위치정보/동작예약시간/알람/스케줄/동작여부,iX,0,스마트장비,1,59.5
친환경 가스온도조절기 인증 스마트 IoT 콘덴싱온도조절기RCM500-27KF,온도조절기,rinnai,고정형,wifi,상시수집,장치제어/출입감지,온도감지/모드/설정온도/상태/동작예약시간/알람/위치정보,iX,1,스마트장비,1,49.5
AI 스마트 멀티탭 16A,멀티탭,aipowermanager,고정형,wifi,상시수집,장치제어/전력량감지/음성제어,전력량/스위치/알람,사용패턴,1,센서,0,41.83333333
iot 원격 모니터링 분전반 전력 측정기 에너지미터,전력량계,aipowermanager,고정형,wifi,상시수집,장치제어/전력량감지/음성제어,전력량/스위치/알람,사용패턴,1,센서,0,41.83333333
코웨이 액티브액션 공기청정기 IoCare,공기청정기/공기측정기,코웨이,고정형,wifi,상시수집,장치제어/음성제어/공기질감지/모니터링,움직임감지/공기질/미세먼지농도/극초미세먼지농도/,생체정보,1,스마트장비,0,59.5
IoT 실내 온도조절기,온도조절기,귀뚜라미,고정형,wifi,상시수집,장치제어/음성제어,현재온도/설정온도/모드/동작예약시간/전원,iX,0,스마트장비,1,49.5
QCON 스마트홈 IoT 에너지미터,전력량계,큐콘,고정형,wifi,상시수집,장치제어/모니터링,전력량,사용패턴,1,센서,1,46.83333333
큐콘 IoT 에어 플러스,공기청정기/공기측정기,큐콘,고정형,wifi,상시수집,장치제어/모니터링,온도감지/습도감지/전력량/동작여부/초미세먼지농도/램프색,iX,0,센서,0,31.83333333
큐콘플러그,플러그,큐콘,고정형,wifi,상시수집,전력량감지/모니터링/장치제어,스케줄/동작여부/램프색/전력량/,사용패턴,1,센서,0,41.83333333
큐콘 IoT 플러그 에어,플러그,큐콘,고정형,wifi,상시수집,전력량감지/모니터링/장치제어/공기질감지,스케줄/동작여부/램프색/전력량/초미세먼지농도/휘발성유기화학물질측정,사용패턴,1,센서,0,41.83333333
루나스퀘어 스마트 가습기2,가습기,루나스퀘어,고정형,wifi,상시수집,장치제어/음성제어,단계/모드/온도/습도,iX,0,센서,1,36.83333333
스마트 IOT 허브형 콘센트,플러그,원브릿지,고정형,wifi,상시수집,전력량감지/모니터링/장치제어,전력량/스케줄/타이머/동작여부,사용패턴,1,센서,0,41.83333333
스마트 IOT 열림감지센서,센서,원브릿지,고정형,wifi/bluetooth,상시수집,장치제어/음성제어/출입감지,문열림감지/알람,행태정보,1,센서,0,36.83333333
움직임감지센서,센서,원브릿지,고정형,wifi,상시수집,위치감지,움직임감지,iX,0,센서,0,31.83333333
헬로우 스마트워치,워치,HAYLOU,이동형,bluetooth,상시수집,생체정보감지/위치감지/모니터링,심박수/움직임감지/수면시간,행태정보,1,스마트장비,1,64.5
POWER G1,워치,COA,이동형,bluetooth,상시수집,생체정보감지/위치감지/모니터링,심박수/걸음수/수면시간,행태정보,1,스마트장비,1,64.5
포러너45/45S,워치,GARMIN,이동형,bluetooth,상시수집,생체정보감지/위치감지/모니터링,심박수/걸음수/위치정보,행태정보,1,스마트장비,1,64.5
Inspire HR,워치,Fitbit,이동형,bluetooth,상시수집,생체정보감지/위치감지/모니터링,심박수/걸음수/수면시간/위치정보,행태정보,1,스마트장비,1,64.5
스마트워치 GTR,워치,AMAZFIT,이동형,bluetooth,상시수집,생체정보감지/위치감지/모니터링,심박수/걸음수/위치정보/기압,행태정보,1,스마트장비,1,64.5
캐시워치 i6 HR,워치,IWOWN,이동형,bluetooth,상시수집,생체정보감지/위치감지/모니터링,심박수/걸음수/수면시간/위치정보,행태정보,1,스마트장비,1,64.5
URBAN S Plus,워치,파트론,이동형,bluetooth,상시수집,생체정보감지/위치감지/모니터링,심박수/걸음수/위치정보/기압,행태정보,1,스마트장비,1,64.5
인바디 밴드2,워치,인바디,이동형,bluetooth,상시수집,생체정보감지/위치감지/모니터링,심박수/걸음수/수면시간/체중/근육량/체지방량/BMI/체지방율등/위치정보,행태정보,1,스마트장비,1,64.5
갤럭시핏,밴드,삼성,이동형,bluetooth,상시수집,생체정보감지/위치감지/모니터링,심박수/걸음수/위치정보/기압,행태정보,1,스마트장비,1,64.5
갤럭시 워치 액티브2,워치,삼성,이동형,wifi/ bluetooth,상시수집,생체정보감지/위치감지/모니터링,위치정보/심박수/움직임감지,행태정보,1,스마트장비,1,67.0
Mi 체지방 체중계,체중계,샤오미,이동형,bluetooth,조건수집,생체정보감지/모니터링,근육량/골부피/체중/BMI/내장지방/체지방/스트레스지수,생체정보,1,스마트장비,1,44.5
애플 워치,워치,애플,이동형,wifi/bluetooth/lte,상시수집,생체정보감지/위치감지/모니터링,위치정보/기압/내장지방/체중/bmi/바디점수/체지방량/골부피/근육량,iX,1,스마트장비,1,62.0
미 밴드4,워치,샤오미,이동형,bluetooth,상시수집,생체정보감지/위치감지/모니터링,심박/가속도(자이로센서)/음성/결제데이터(스마트월렛),행태정보,1,스마트장비,1,64.5
순토9,워치,순토,이동형,bluetooth,상시수집,생체정보감지/위치감지/모니터링,위치정보/기압고도/심박/온도/가속도(자이로센서),행태정보,1,스마트장비,1,64.5
스마트밴드,워치,브리츠,이동형,bluetooth,상시수집,생체정보감지/위치감지/모니터링,심박수/혈중산소농도/가속도(자이로센서),행태정보,1,스마트장비,1,64.5
Gen 5 스마트워치,워치,파슬,이동형,bluetooth,상시수집,생체정보감지/위치감지/모니터링/결제,심박수/결제데이터(구글페이)/음성/위치정보/가속도(자이로센서)/기압고도,금융정보,1,스마트장비,1,74.5
런웨이 블랙톤 스마트워치,워치,마이클코어스,이동형,wifi/ bluetooth,상시수집,생체정보감지/위치감지/모니터링/결제,심박수/음성/가속도/위치정보/결제데이터(구글페이),금융정보,1,스마트장비,1,77.0
소니 스마트워치3,워치,소니,이동형,wifi/ bluetooth,상시수집,생체정보감지/위치감지/모니터링/결제,심박수/음성/가속도/위치정보/결제데이터(구글페이),금융정보,1,스마트장비,1,77.0
위딩스 스캔워치,워치,위딩스,이동형,bluetooth,상시수집,생체정보감지/위치감지/모니터링,심박수/심전도/산소포화도/가속도/위치정보,행태정보,1,스마트장비,1,64.5
보이런던 Q82,워치,보이런던,이동형,bluetooth,상시수집,생체정보감지/위치감지/모니터링,위치정보/심박수/걸음수,행태정보,1,스마트장비,1,64.5
Jackom 스마트 링,반지,Jackom,이동형,nan,조건수집,장치제어,X,iX,0,스마트장비,0,44.5
HUAWEI WATCH GT 2,워치,화웨이,이동형,bluetooth,상시수집,생체정보감지/위치감지/모니터링,위치정보/심박수/기압/걸음수/알람,행태정보,1,스마트장비,1,64.5
HUAWEI Band 4,워치,화웨이,이동형,bluetooth,상시수집,생체정보감지/위치감지/모니터링,심박수/위치정보/걸음수/알람,행태정보,1,스마트장비,1,64.5
하이브리드 스마트 워치 W7,워치,LG,이동형,wifi/ bluetooth,상시수집,생체정보감지/위치감지/모니터링,기압/위치정보/걸음수/알람,행태정보,1,스마트장비,1,67.0
"Dexcom G5 Mobile Continuous Glucose Monitoring System",혈당측정기,덱스콤,이동형,bluetooth,상시수집,생체정보감지/모니터링/위치감지,클루코오스(혈당측정),행태정보,1,센서,0,46.83333333
프리스타일 리브레 센서,혈당측정기,아델라,이동형,nan,상시수집,생체정보감지/모니터링/위치감지,클루코오스(혈당측정),행태정보,1,센서,0,39.33333333
스마트 월패드,도어락,삼성,고정형,wifi,조건수집,출입감지/모니터링/장치제어,문열림감지/온도/날씨/스케줄/조도,행태정보/사용패턴,1,스마트장비,1,57.0
WAVE,스피커,네이버클로바,고정형,wifi/bluetooth,상시수집,음성제어/음성제어/메신저/추천,음성,취향정보,1,스마트장비,0,44.5
카카오 미니C,스피커,카카오,고정형,bluetooth,상시수집,음성제어/음성제어/메신저/추천,음성,취향정보,1,스마트장비,0,42.0
안정기내장형램프(LED용),전구,HONERTONELTD,고정형,wifi,X,장치제어/음성제어,조도/색온도/동작여부,iX,0,액츄에이터,0,35.16666667
안정기내장형램프(LED용),전구,HONERTONELTD,고정형,bluetooth/ zigbee,X,장치제어/음성제어,조도/색온도/동작여부,iX,0,액츄에이터,0,32.66666667
COL Hue Lightstrip Plus 2m APR,전구,TenPaoElectronics,고정형,wifi,X,장치제어/음성제어,조도/색온도/동작여부,iX,0,액츄에이터,0,35.16666667
Hue White ambiance,전구,SignifyInvestmentCo./Ltd.,고정형,wifi,X,장치제어/음성제어,조도/색온도/동작여부,iX,0,액츄에이터,0,35.16666667
LED등기구(매입형),전구,DongguanZoYoElectronicsTechnologyCo./Ltd.,고정형,wifi,X,장치제어/음성제어,조도/색온도/동작여부,iX,0,액츄에이터,0,35.16666667
WiFi 스마트 전등 스위치(2구),스위치,이젝스,고정형,wifi,X,장치제어/음성제어,스위치/버튼활성화여부,iX,0,액츄에이터,0,35.16666667
경동나비엔 온도조절기 WIFI 온도 조절기,온도조절기,경동나비엔,고정형,wifi,상시수집,장치제어/음성제어,온도감지/모드/설정온도/상태/동작예약시간/알람,iX,0,센서,1,36.83333333
AWAIR Omni,온습도계/조도측정기/공기측정기,비트파인더코리아,고정형,wifi/bluetooth,상시수집,공기질감지/모니터링,온도/습도/이산화탄소농도/화학물질농도/초미세먼지농도/총점,iX,0,센서,1,36.83333333
AWAIR Mint,온습도계/공기측정기,비트파인더코리아,고정형,wifi/bluetooth,상시수집,공기질감지/모니터링,온도/습도/이산화탄소농도/화학물질농도/초미세먼지농도/총점,iX,0,센서,1,36.83333333
AI 조명 스위치,스위치,다원디엔에스,고정형,zigbee/z-wave,X,장치제어,스위치,iX,0,센서/액츄에이터,0,30.16666667
AI 스마트 멀티탭 16A,멀티탭,다원디엔에스,고정형,wifi,상시수집,장치제어,전력량/알람/스위치,사용패턴,1,센서/액츄에이터,0,50.16666667
블루투스 스마트 매립형 콘센트,콘센트,다원디엔에스,고정형,bluetooth,상시수집,장치제어,전력량/알람/스위치,iX,0,센서/액츄에이터,0,37.66666667
IoT 스마트 태양광 발전량 측정기,전력량계,다원디엔에스,고정형,wifi,상시수집,모니터링,발전량/누적발전량/알람,iX,0,센서,0,31.83333333
브런트 Wi-Fi 에어젯 S,공기청정기/공기측정기,브런트,고정형,wifi,상시수집,장치제어/모니터링/음성제어,모드/동작여부/미세먼지농도/온도/습도/알람,iX,0,센서/액츄에이터,0,40.16666667
브런트 블라인드 엔진2,블라인드,브런트,고정형,wifi,조건수집,장치제어/음성제어,문열림인지,iX,0,센서/액츄에이터,0,37.66666667
브런트 플러그,콘센트,브런트,고정형,wifi,상시수집,장치제어/음성제어/모니터링/위치감지,전력량/동작여부/스위치,사용패턴,1,센서/액츄에이터,0,50.16666667
소요리 스마트 전구,전구,merlotlighting,고정형,wifi,X,장치제어/음성제어,조도/색온도/동작여부,iX,0,액츄에이터,0,35.16666667
소요리 IoT 허브 전구,전구,merlotlighting,고정형,wifi,X,장치제어/음성제어,조도/색온도/동작여부,iX,0,액츄에이터,0,35.16666667
소요리 올인원 IoT 거실등,전구,merlotlighting,고정형,wifi,X,장치제어/음성제어,조도/색온도/동작여부,iX,0,액츄에이터,0,35.16666667
소요리 올인원 IoT 방등,전구,merlotlighting,고정형,wifi,X,장치제어/음성제어,조도/색온도/동작여부,iX,0,액츄에이터,0,35.16666667
아이오 스위처 ,스위치,아이오,고정형,bluetooth,X,장치제어/음성제어,스위치,iX,0,액츄에이터,0,32.66666667
스마트 홈카메라,카메라,고퀄,고정형,wifi,상시수집,녹화/녹음/음성제어,영상/움직임감지/음성,행태정보,1,스마트장비,1,54.5
스마트 라인 LED,전구,고퀄,고정형,wifi,상시수집,장치제어/음성제어,조도/색온도/동작여부,iX,0,액츄에이터,0,40.16666667
Xfit GTS,워치,Xfit,이동형,bluetooth,상시수집,위치감지/생체정보감지,심박수/걸음수/혈중산소농도/수면시간/위치정보,행태정보,1,스마트장비,1,39.5
아이온 스마트밴드,워치,ION,이동형,bluetooth,상시수집,위치감지/생체정보감지,심박수/걸음수/혈중산소농도/수면시간/위치정보,행태정보,1,스마트장비,1,39.5
아비람 스마트워치,워치,아비람,이동형,bluetooth,상시수집,위치감지/생체정보감지,심박수/걸음수/수면시간/위치정보,행태정보,1,스마트장비,1,39.5
BY51 스마트워치,워치,Seetons,이동형,bluetooth,상시수집,위치감지/생체정보감지,심박수/걸음수/수면시간/위치정보,행태정보,1,스마트장비,1,39.5
스마트밴드 HR2.5,워치,세븐일렉,이동형,bluetooth,상시수집,위치감지/생체정보감지,심박수/걸음수/수면시간/위치정보,행태정보,1,스마트장비,1,39.5
듀얼 주파수 스마트 체중계,체중계,세븐일렉,고정형,bluetooth,조건수집,위치감지/생체정보감지,체중/체수분/체지방/근육량,행태정보,1,스마트장비,1,49.5
모멘트 엘리트 스마트워치,워치,런타스틱,이동형,bluetooth,상시수집,위치감지/생체정보감지,걸음수/수면시간/위치정보,행태정보,1,스마트장비,1,39.5
스트로만 스마트워치,워치,스트로만,이동형,bluetooth,상시수집,생체정보감지/위치감지,심박수/걸음수/혈중산소농도/수면시간/위치정보,행태정보,1,스마트장비,1,39.5
HERA Fit+,워치,헬스원,이동형,bluetooth,상시수집,생체정보감지/위치감지,심박수/걸음수/수면시간/위치정보,행태정보,1,스마트장비,1,39.5
하트가드 심박밴드,워치,디지쿼터스,이동형,bluetooth,상시수집,생체정보감지/위치감지,심박수/위치정보/연락처,행태정보,1,스마트장비,1,39.5
Uwatch2,워치,우미디지,이동형,bluetooth,상시수집,생체정보감지/위치감지,심박수/걸음수/수면시간/위치정보,행태정보,1,스마트장비,1,39.5
LEMFO H8 Smartwatch,워치,LEMFO,이동형,bluetooth,상시수집,생체정보감지/위치감지,심박수/걸음수/수면시간/위치정보,행태정보,1,스마트장비,1,39.5
4YOU DZ09 스마트워치,워치,4YOU,이동형,bluetooth,상시수집,생체정보감지/위치감지,걸음수/수면시간,행태정보,1,스마트장비,1,39.5
Letike gt101 스마트 팔찌,밴드,Letike,이동형,bluetooth,상시수집,생체정보감지/위치감지,심박수/걸음수/수면시간/위치정보,행태정보,1,스마트장비,1,39.5
지엠 블루투스 스마트워치,워치,TOLASI,이동형,bluetooth,상시수집,생체정보감지/위치감지,심박수/혈압/걸음수/수면시간/위치정보,행태정보,1,스마트장비,1,39.5
카카오프렌즈키즈워치2,워치,카카오,이동형,bluetooth,상시수집,생체정보감지/위치감지,위치정보/연락처,행태정보,1,스마트장비,1,39.5
Greentiger F8 블루투스 스마트 시계,워치,Greentiger,이동형,bluetooth,상시수집,생체정보감지/위치감지,심박수/혈압/걸음수/수면시간/위치정보,행태정보,1,스마트장비,1,39.5
하이브리드 워치 지타임,워치,MYKRONOZ,이동형,bluetooth,상시수집,생체정보감지/위치감지,심박수/걸음수/수면시간/위치정보,행태정보,1,스마트장비,1,39.5
Lerbyee 스마트 밴드,밴드,Lerbyee,이동형,bluetooth,상시수집,생체정보감지/위치감지,심박수/혈압/걸음수/수면시간/위치정보,행태정보,1,스마트장비,1,39.5
트랙 브라보 위치 추적 아이템 트랙커,위치알림이,TrackR,고정형,bluetooth,상시수집,생체정보감지/위치감지,심박수/혈압/걸음수/수면시간/위치정보,행태정보,1,센서,1,39.33333333
VERY FiTEK,워치,VERYFiTEK,이동형,bluetooth,상시수집,생체정보감지/위치감지,심박수/혈압/걸음수/수면시간/위치정보,행태정보,1,스마트장비,1,39.5
LOKMAT 스마트 워치,워치,LOKMAT,이동형,bluetooth,상시수집,생체정보감지/위치감지,심박수/혈압/걸음수/수면시간/위치정보,행태정보,1,스마트장비,1,39.5
Y6 Pro 피트니스 트래커 스마트 시계,워치,Y6,이동형,bluetooth,상시수집,생체정보감지/위치감지,심박수/혈압/걸음수/수면시간/위치정보,행태정보,1,스마트장비,1,39.5
Lige 2019 스마트워치,워치,Lige,이동형,bluetooth,상시수집,생체정보감지/위치감지,심박수/혈압/걸음수/수면시간/위치정보,행태정보,1,스마트장비,1,39.5
SENBONO pull touch 스마트 시계,워치,SENBONO,이동형,bluetooth,상시수집,생체정보감지/위치감지,심박수/걸음수/혈압/위치정보,행태정보,1,스마트장비,1,39.5
Colmi 스마트 시계,워치,Colmi,이동형,bluetooth,상시수집,생체정보감지/위치감지,심박수/혈압/혈중산소농도/걸음수/수면시간/위치정보,행태정보,1,스마트장비,1,39.5
우리아이 지킴이,위치알림이,KEYCO,이동형,bluetooth,상시수집,생체정보감지/위치감지,심박수/혈압/혈중산소농도/걸음수/수면시간/위치정보,행태정보,1,센서,1,26.83333333
AIRWATCH,워치,젤센,이동형,bluetooth,상시수집,생체정보감지/위치감지,심박수/혈압/혈중산소농도/걸음수/수면시간/위치정보,행태정보,1,스마트장비,1,39.5
